CHANNEL_KEY	SITE_KEY	COUNTRY_CODE	POSTCODE
8	FREC60	FR	46220
8	FREC83	FR	59920
8	FREC84	FR	11500
8	FREC85	FR	29300
8	FREC89	FR	51100
8	FREC90	FR	30210
8	FRECC1	FR	62510
8	FRECC6	FR	75009
8	FRECD5	FR	17250
8	FRECDA	FR	62400
8	FRECDC	FR	87400
8	FRECDD	FR	49400
8	FRECDG	FR	37150
8	FRECDL	FR	13130
8	FRECDP	FR	06000
8	FRECE1	FR	72160
8	FRECE2	FR	50600
8	FRECE4	FR	56150
8	FRECE8	FR	76430
8	FRECEG	FR	36000
8	FRECEM	FR	06260
8	FRECEP	FR	24100
8	FRECEV	FR	17170
8	FRECEW	FR	76250
8	FRECEX	FR	14800
8	FRECF2	FR	72300
8	FRECF7	FR	27190
8	FRECF8	FR	51210
8	FRECFF	FR	01200
8	FRECFH	FR	78280
8	FRECFI	FR	14500
8	FRECFT	FR	65300
8	FRECFU	FR	40550
8	FRECFV	FR	31210
8	FRECFZ	FR	40300
8	FRECG2	FR	02300
8	FRECG6	FR	62280
8	FRECG7	FR	23000
8	FRECGD	FR	64270
8	FRECGE	FR	64220
8	FRECGF	FR	64990
8	FRECGP	FR	64100
8	FRECGR	FR	32100
8	FRECH2	FR	35136
8	FRECH3	FR	33640
8	FRECIA	FR	75007
8	FRECIP	FR	28800
8	FRED07	FR	33770
8	FRED10	FR	83140
8	FRED12	FR	59230
8	FRED14	FR	X
8	FRED15	FR	24220
8	FRED18	FR	15100
8	FRED22	FR	74430
8	FRED28	FR	18110
8	FRED34	FR	49110
8	FRED38	FR	81370
8	FRED39	FR	69590
8	FRED40	FR	76310
8	FRED41	FR	83120
8	FRED42	FR	83120
8	FRED45	FR	95150
8	FRED46	FR	27230
8	FRED55	FR	14800
8	FRED56	FR	31170
8	FRED58	FR	76580
8	FRED63	FR	06560
8	FRED67	FR	07140
8	FRED68	FR	30600
8	FRED71	FR	32190
8	FRED73	FR	38200
8	FRED74	FR	18100
8	FRED83	FR	73100
8	FRED84	FR	62160
8	FRED85	FR	73200
8	FRED89	FR	01500
8	FRED90	FR	63600
8	FRED92	FR	80000
8	FRED96	FR	74940
8	FREE01	FR	06600
8	FREE06	FR	36200
8	FREE15	FR	59265
8	FREE16	FR	62690
8	FREE17	FR	23200
8	FREE18	FR	62260
8	FREE20	FR	62370
8	FREE24	FR	89000
8	FREE25	FR	59440
8	FREE26	FR	62810
8	FREE27	FR	62210
8	FREE28	FR	77210
8	FREE35	FR	77700
8	FREE36	FR	59780
8	FREE38	FR	62450
8	FREE47	FR	63110
8	FREE52	FR	01200
8	FREE53	FR	69220
8	FREE56	FR	62600
8	FREE64	FR	35830
8	FREE70	FR	50560
8	FREE74	FR	41000
8	FREE75	FR	76230
8	FREE78	FR	59910
8	FREE81	FR	33200
8	FREE83	FR	33800
8	FREE84	FR	20290
8	FREE85	FR	76850
8	FREE89	FR	92100
8	FREE90	FR	03160
8	FREE91	FR	59630
8	FREE94	FR	23400
8	FREE95	FR	01000
8	FREE96	FR	18000
8	FREF04	FR	77480
8	FREF08	FR	79300
8	FREF12	FR	14760
8	FREF13	FR	91650
8	FREF15	FR	27800
8	FREF19	FR	62160
8	FREF24	FR	62100
8	FREF26	FR	62100
8	FREF2X	FR	31300
8	FREF30	FR	76450
8	FREF34	FR	66400
8	FREF45	FR	60500
8	FREF48	FR	35131
8	FREF49	FR	77590
8	FREF50	FR	69680
8	FREF58	FR	71880
8	FREF59	FR	92320
8	FREF64	FR	41260
8	FREF67	FR	21800
8	FREF69	FR	38640
8	FREF70	FR	92140
8	FREF72	FR	31770
8	FREF74	FR	59560
8	FREF75	FR	03600
8	FREF76	FR	74410
8	FREF79	FR	69420
8	FREF80	FR	78700
8	FREF81	FR	69960
8	FREF84	FR	58200
8	FREF85	FR	03430
8	FREF89	FR	77700
8	FREF90	FR	92400
8	FREF95	FR	50710
8	FREG01	FR	60800
8	FREG02	FR	34920
8	FREG06	FR	78290
8	FREG11	FR	07430
8	FREG13	FR	58300
8	FREG15	FR	62240
8	FREG17	FR	35800
8	FREG23	FR	51700
8	FREG29	FR	77250
8	FREG31	FR	76500
8	FREG33	FR	62910
8	FREG35	FR	91360
8	FREG36	FR	76133
8	FREG37	FR	29500
8	FREG39	FR	62400
8	FREG40	FR	59940
8	FREG41	FR	22680
8	FREG42	FR	62630
8	FREG43	FR	91450
8	FREG49	FR	41400
8	FREG53	FR	59680
8	FREG54	FR	45210
8	FREG59	FR	80210
8	FREG60	FR	51170
8	FREG62	FR	32500
8	FREG63	FR	27380
8	FREG72	FR	38190
8	FREG73	FR	62310
8	FREG77	FR	13120
8	FREG78	FR	78440
8	FREG79	FR	69740
